Date,FNSKU,ASIN,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time,msku
02/01/2025,X001VSXA73,B0CKK1JKCR,"Fusked Hermoine Wand Magic Wands Harry Potter Accessories Gift Toys Cosplay Dress Accessories For Kids(Limited Edition 2024),Multicolor",Shipments,,-1,CCX1,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001VSVWK5,B0CKK4LHFS,"Fusked Snape Wand Magic Wands Harry Potter Accessories Gift Toys Cosplay Dress Accessories For Kids(Limited Edition 2024),Multicolor",Shipments,,-1,CCX1,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001VS5ZBR,B0CKJ5D2ZM,"Fusked Voldemort Wand Magic Wands Harry Potter Accessories With Sunglass Gift Toys Cosplay Dress Combo For Kids(Limited Edition 2024), Multicolor",Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001VQL0W7,B099WV6KGX,Fusked Thug Life Sunglasses Pixelated Mosaic Glasses Party Glasses MLG Shades (12 Pixels) Made in India (SINGLE),Shipments,,-1,CCX1,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001VQL0W7,B099WV6KGX,Fusked Thug Life Sunglasses Pixelated Mosaic Glasses Party Glasses MLG Shades (12 Pixels) Made in India (SINGLE),Shipments,,-1,BLR8,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001JJPAOZ,B09TVRYC6V,"CAAJU Titanic Mb, Music Box Titanic Heart Will Go On Tune Titanic Theme Music Box For Love Gift For Girl Friend Friends Wife Hand Crank Musical Boxes Wooden, Kid",Shipments,,-1,BLR8,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
02/01/2025,X001FBNFIZ,B09BHTGT9F,Fusked Flufies Chimmy Plush Soft Toys for New Born Baby and Baby Boy - Soft and Easy Wash Puppy Plush - Huggable Plush Toys for Girls and Boys - BT21 Soft Toy for Fans and Home Décor,Shipments,,-1,BOM7,SELLABLE,,IN,,,2025-02-01T00:00:00+0530,UNKNOWN
01/31/2025,X00283I6HT,B0DTTY65TH,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Otter Grey),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X00282EELH,B0DTQ58T61,Fusked Flufies Breathing Messenger Cat Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Pink),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027Z4S1L,B0DK52Z4FT,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Stitch Blue),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027SINDR,B0DSPWLCVP,FUSKED Flufies Sand Filled Rubber Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027QARD3,B0DSJMBF52,Fusked Flufies Breathing Fox Soft Toys for Baby Girl and Boy - 25 cmSensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toy Cuddle Pillow,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027KW4W1,B0DS18WRKZ,FUSKED Flufies Squishy Toy for Kids - Soft Ball for Kids and Stress Relief Toys Adults - Squeeze Ball Toys for Kids - Cat Kawaii Stuff Miniature Toys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027APMYD,B0DR9763JC,Fusked Minecraft Plushie Stuffed Doll Cuddly Collectable Mine Craft Soft Toy Gift Plush Toys Kids Soft Plush Toys Valentine's Day Christmas Birthday Game Character (Llama and Ghast),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027ANQ1J,B0DR96LD67,Fusked Minecraft Plushie Stuffed Doll Cuddly Collectable Mine Craft Soft Toy Gift Plush Toys Kids Soft Plush Toys Valentine's Day Christmas Birthday Game Character (Llama and Creeper),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X00279NLG5,B0DR6167SQ,Fusked Flufies Breathing Otter Soft Toys for Baby Girl and Boy - 25cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Newborn - Baby Toy Cuddle Pillow,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X002739JM1,B0DQH3G9TL,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Breathing Pink Otter),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X002736T0L,B0DQH52R4H,"Caaju Compression Packing Cubes Travel Organizer Set, 3 Cubes and 1 Shoe Bag, Cream (Sky Blue, Large)",Shipments,,-1,BLR8,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027339I1,B0DQGX8365,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Dark Brown),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027339I1,B0DQGX8365,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Dark Brown),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027339I1,B0DQGX8365,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Dark Brown),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0027339I1,B0DQGX8365,Fusked Flufies Breathing Teddy Soft Toys for Baby Girl and Boy - 25 cm Sensory Toys and Musical Toys for Kids - Sleeping Teddy Bear with Breathing - Baby Gifts Cuddle Pillow (Dark Brown),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026O9B83,B0DP571GNP,Fusked Flufies Combo Minecraft Sword and Steve Plush Toys for Collectors - Kids Room Decor and Halloween Decor for Video Game Fans- Washable for Girls and Boys for Birthday,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026FX4Q7,B0DNKC3PQ4,Fusked Flufies Minecraft Sword and Pickaxe for Room Decor and Halloween Decor - Foam Minecraft Pickaxe for Kids and Collectors - Diamond Netherite Toy for Birthday and Role Play (Pickaxe and Sword),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026FX4Q7,B0DNKC3PQ4,Fusked Flufies Minecraft Sword and Pickaxe for Room Decor and Halloween Decor - Foam Minecraft Pickaxe for Kids and Collectors - Diamond Netherite Toy for Birthday and Role Play (Pickaxe and Sword),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026FX4Q7,B0DNKC3PQ4,Fusked Flufies Minecraft Sword and Pickaxe for Room Decor and Halloween Decor - Foam Minecraft Pickaxe for Kids and Collectors - Diamond Netherite Toy for Birthday and Role Play (Pickaxe and Sword),Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026EX1AH,B0DNG1FQ67,Fusked Flufies Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026EX1AH,B0DNG1FQ67,Fusked Flufies Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026EWNTH,B0DNFY2WW3,Fusked Flufies Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026EWNTH,B0DNFY2WW3,Fusked Flufies Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026EWNTH,B0DNFY2WW3,Fusked Flufies Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
01/31/2025,X0026EWNTH,B0DNFY2WW3,Fusked Flufies Blox Fruits Plush Soft Toy for Kids and Collectors - Video Game Soft Pillow for Cute Home Decor and Gift - Washable and Safe Material Stuffed Toy,Shipments,,-1,TLCQ,SELLABLE,,IN,,,2025-01-31T00:00:00+0530,UNKNOWN
